Cinsiyete göre son 3 ayda İnternet kullanan bireylerin İnterneti özel amaçlı faaliyetler için kullanma oranı, 2024;;;;;;;;;;;;;
Proportion of individuals, used Internet in the last 3 months, in using Internet for the activities for private purposes by sex, 2024;;;;;;;;;;;;;
;;;;;;;;;;;(%);;
Amaçlar-Purposes;Toplam-Total;;;;Erkek-Male;;;;Kadın-Female;;;;
;"Toplam
Total";"Genç
Youth (16-24)";"Yetişkin      
Adult (25+)";;"Toplam
Total";"Genç
Youth (16-24)";"Yetişkin             
Adult (25+)";;"Toplam
Total";"Genç
Youth (16-24)";"Yetişkin             
Adult (25+)";;
"e-posta gönderme/ alma
Sending / receiving e-mails";47,7;58,0;45,3;;52,7;59,1;51,3;;42,2;56,8;38,9;;
"İnternet üzerinden sesli veya görüntülü arama yapma
Telephoning over the Internet / video calls (via webcam) over the Internet";93,5;95,3;93,0;;92,4;94,8;91,8;;94,7;95,9;94,4;;
"Sosyal medya üzerinde profil oluşturma, mesaj gönderme veya fotoğraf vb. içerik paylaşma
Participating in social networks (creating user profile, posting messages or other contributions)";87,5;95,7;85,6;;89,4;97,7;87,5;;85,5;93,5;83,7;;
"Mesajlaşma
Using instant messaging";95,5;98,5;94,8;;96,2;98,7;95,6;;94,8;98,3;94,0;;
"Mal ve hizmetler hakkında bilgi arama
Finding information about goods or services";74,9;85,6;72,4;;76,6;84,2;74,8;;73,0;87,2;69,7;;
"Çevrimiçi haber sitelerini / gazeteleri / haber dergilerini okuma
Reading online news";59,6;59,6;59,6;;64,5;61,8;65,1;;54,3;57,2;53,6;;
"Web siteleri veya sosyal medya aracılığıyla  toplumsal veya siyasal konular ile ilgili görüşleri paylaşma
Posting opinions on civic or political issues via websites";13,1;13,3;13,0;;14,6;14,4;14,7;;11,4;12,1;11,2;;
"Toplumsal veya siyasal bir konuda online tartışma/ oylamaya katılma 
Taking part in on-line consultations or voting to define civic or political issues";5,5;6,2;5,3;;6,3;6,7;6,2;;4,7;5,6;4,4;;
"Müzik dinlemek veya müzik indirme 
Listening to music or downloading music";68,6;86,3;64,5;;69,0;85,9;65,1;;68,1;86,7;63,8;;
"TV yayıncılarından İnternet üzerinden yayınlanan TV akışlarını canlı veya sonradan) izleme 
Watching Internet streamed TV (live or catch-up) from TV broadcasters";39,9;48,2;38,0;;38,5;46,3;36,7;;41,4;50,3;39,4;;
"Ücretli servislerden istenilen zamanda video izleme
Watching Video on Demand from commercial services";25,8;34,4;23,8;;26,2;35,6;24,0;;25,3;33,1;23,6;;
"Paylaşım sitelerinden video izleme  
Watching video content from sharing services";80,0;89,8;77,7;;80,9;89,9;78,9;;78,9;89,6;76,5;;
"Oyun oynama veya oyun indirme
Playing or downloading games";29,4;54,1;23,7;;33,8;64,4;26,7;;24,7;43,0;20,5;;
"Podcast'leri dinlemek ya da indirmek
Listening to podcasts or downloading podcasts";8,2;15,3;6,6;;8,0;15,0;6,3;;8,5;15,6;6,8;;
"Sağlıkla ilgili bilgi arama
Seeking health-related information";64,5;65,9;64,1;;61,3;60,9;61,4;;67,9;71,4;67,1;;
"Web sitesi veya bir uygulama üzerinden doktordan randevu alma
Making an appointment with a practitioner via a website or app";58,5;59,1;58,4;;57,0;53,4;57,9;;60,2;65,2;59,0;;
"Kişisel sağlık bilgilerine online erişim
Accessing personal health records online";53,7;53,9;53,7;;52,2;49,2;52,9;;55,4;59,0;54,5;;
"Hastaneye veya doktora gitmek yerine bir web sitesi veya uygulama üzerinden diğer sağlık hizmetlerini kullanma
Using other health services via a website or app instead of having to go to the hospital or visit a doctor";13,5;14,8;13,2;;13,6;14,0;13,5;;13,4;15,7;12,8;;
"Mal veya hizmet satışı
Selling of goods or services";11,4;13,9;10,9;;13,5;15,3;13,1;;9,2;12,3;8,5;;
"İnternet bankacılığı
Internet banking";71,0;66,3;72,0;;83,1;72,8;85,5;;57,9;59,3;57,6;;
TÜİK, İstatistiklerle Gençlik, 2024;;;;;;;;;;;;;
TurkStat, Youth in Statistics, 2024;;;;;;;;;;;;;
"Kaynak: TÜİK, Hanehalkı Bilişim Teknolojileri (BT) Kullanım Araştırması, 2024
";;;;;;;;;;;;;
Source: TurkStat, Survey on Information and Communication Technology (ICT) Usage in Households and by Individuals, 2024;;;;;;;;;;;;;
Birden fazla seçenek işaretlenebildiği için toplam 100 olmayabilir.;;;;;;;;;;;;;
Since more than one option can be chosen, total may not be 100.;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
