Cinsiyete göre bireylerin İnternet kullanım oranı, 2024, 2025;;;;;;;;;
Proportion of individuals using internet by sex, 2024, 2025;;;;;;;;;
;;;;;;;;;(%)
"En son kullanım zamanı 
Latest usage";;"Toplam
Total";;;"Erkek
Male";;;"Kadın
Female";
;;2024;2025;;2024;2025;;2024;2025
İnternet kullananlar-Internet users;;88,8;90,9;;92,2;93,6;;85,4;88,2
;"Son 3 ay içinde
Within the last 3 months";87,3;89,8;;90,7;92,5;;83,9;87,0
;"3 ay ile bir yıl arasında                               
Between 3 months and a year ago";1,0;0,6;;1,0;0,6;;0,9;0,7
;"Bir yıldan önce
More than one year ago";0,5;0,5;;0,5;0,6;;0,6;0,5
"Hiç kullanmadı
Never used it";;11,2;9,1;;7,8;6,4;;14,6;11,8
TÜİK, Hanehalkı Bilişim Teknolojileri (BT) Kullanım Araştırması, 2025;;;;;;;;;
TurkStat, Survey on Information and Communication Technology (ICT) Usage in Households and by Individuals, 2025;;;;;;;;;
Tablodaki rakamlar yuvarlamadan dolayı toplamı vermeyebilir.;;;;;;;;;
Figures in table may not add up to totals due to rounding.;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
